name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status,price,change,volume,date
3BBIF,2025-02-13,2025-02-18,5.4,5.25,39937690,5.45,5.25,-2.78,B,5.25,-0.05,2385626,2025-02-20
AIMIRT,2025-02-07,2025-02-18,10.5,10.6,1497594,10.6,10.4,0.95,B,10.7,0.1,385876,2025-02-20
AWC,2025-02-11,2025-02-18,3.0,3.14,219588998,3.14,2.92,4.67,S,3.14,-0.02,37944460,2025-02-20
BCH,2025-02-18,2025-02-18,13.7,15.0,9280215,15.0,13.6,9.49,S,15.7,0.0,6623017,2025-02-20
CPNREIT,2025-02-10,2025-02-18,12.0,12.2,9756814,12.2,11.8,1.67,B,12.3,0.1,800300,2025-02-20
DIF,2025-02-18,2025-02-18,8.15,8.15,18204577,8.25,8.1,0.0,B,8.1,-0.05,6395933,2025-02-20
GVREIT,2025-02-11,2025-02-18,6.65,6.8,1168800,6.8,6.55,2.26,B,6.85,0.0,197604,2025-02-20
JMART,2025-02-13,2025-02-18,9.85,10.3,61903494,10.7,9.85,4.57,B,10.3,-0.1,9971023,2025-02-20
JMT,2025-02-14,2025-02-18,13.4,14.1,16165720,14.1,13.1,5.22,S,13.9,-0.3,8013768,2025-02-20
KCE,2025-02-14,2025-02-18,20.8,21.0,16639308,21.5,20.8,0.96,B,21.2,0.0,12998755,2025-02-20
MCS,2025-02-14,2025-02-18,6.45,6.7,302010,6.7,6.4,3.88,B,6.8,-0.1,228309,2025-02-20
NER,2025-02-14,2025-02-18,4.8,4.92,14036894,4.92,4.68,2.5,B,4.86,-0.19,30536335,2025-02-20
PTG,2025-02-14,2025-02-18,7.1,7.55,6004908,7.55,7.0,6.34,S,7.7,-0.05,3221405,2025-02-20
RCL,2025-02-14,2025-02-18,24.8,24.9,5648542,25.5,24.7,0.4,S,25.25,-0.25,2168964,2025-02-20
SENA,2025-02-18,2025-02-18,2.1,2.16,4977006,2.2,2.08,2.86,B,2.22,0.02,264314,2025-02-20
SYNEX,2025-02-14,2025-02-18,10.0,10.3,12871820,10.9,10.0,3.0,S,10.5,0.3,3129324,2025-02-20
TFFIF,2025-02-14,2025-02-18,6.3,6.45,1105604,6.45,6.3,2.38,B,6.4,-0.05,2385730,2025-02-20
TVO,2025-02-07,2025-02-18,20.7,22.1,2657536,22.1,20.5,6.76,S,22.2,0.2,404652,2025-02-20
WHAIR,2025-02-14,2025-02-18,6.25,6.35,461328,6.35,6.2,1.6,B,5.85,-0.5,3246095,2025-02-20
WHART,2025-02-14,2025-02-18,10.1,10.2,3355690,10.3,10.1,0.99,S,10.2,0.0,2123085,2025-02-20
