name,shares,unit_cost,cost_amt,dividend,div_amt,cost_pct,period
GVREIT,69000,7.75,534750.0,0.8043,55496.7,10.38,2
AIMIRT,17500,10.6,185500.0,0.85,14875.0,8.02,2
DIF,50000,12.17,608500.0,0.8888,44440.0,7.3,2
TVO,8000,24.0,192000.0,1.73,13840.0,7.21,3
PTT,2500,32.0,80000.0,2.1,5250.0,6.56,2
TFFIF,20000,7.2,144000.0,0.4596,9192.0,6.38,2
WHAIR,50000,8.7,435000.0,0.5461,27305.0,6.28,2
RCL,24000,40.15,963600.0,2.5,60000.0,6.23,3
WHART,25000,11.6,290000.0,0.692,17300.0,5.97,2
MCS,81000,14.8,1198800.0,0.75,60750.0,5.07,2
NER,27000,7.45,201150.0,0.36,9720.0,4.83,2
CPNREIT,55000,18.0,990000.0,0.7966,43813.0,4.43,2
STA,10000,30.0,300000.0,1.0,10000.0,3.33,3
PTG,3600,11.4,41040.0,0.35,1260.0,3.07,4
SENA,105000,4.48,470400.0,0.1112,11676.0,2.48,2
TOA,1000,26.0,26000.0,0.63,630.0,2.42,4
AH,1200,37.0,44400.0,0.79,948.0,2.14,1
BCH,4000,21.7,86800.0,0.43,1720.0,1.98,3
IVL,7200,40.0,288000.0,0.7,5040.0,1.75,3
SYNEX,17500,26.4,462000.0,0.44,7700.0,1.67,3
3BBIF,120000,10.1,1212000.0,0.1546,18552.0,1.53,3
AWC,9000,4.96,44640.0,0.075,675.0,1.51,1
JMART,6800,33.0,224400.0,0.47,3196.0,1.42,1
SCC,600,405.0,243000.0,5.0,3000.0,1.23,1
JMT,4200,55.5,233100.0,0.52,2184.0,0.94,4
PTTGC,6000,64.75,388500.0,0.5,3000.0,0.77,1
ORI,50000,9.0,450000.0,0.021,1050.0,0.23,1
SINGER,6000,24.8,148800.0,0.0,0.0,0.0,1
