trade,name,spd,reason,market,qty,target,price,change,%change,active,xdate
B,AIMIRT,0,RND15pct,SET,2500,9.1,10.0,0.2,2.040816,0,2025-08-19
B,GVREIT,0,RND20Pct,SET,6000,6.0,6.4,0.1,1.587302,1,2025-08-27
B,IVL,0,CSSTGT,SET50,1800,20.6,24.1,0.9,3.87931,0,2025-08-27
B,JMART,0,RD80Pct,SET50,3200,8.0,10.4,-0.1,-0.952381,0,2025-05-09
B,JMT,0,RD75pct,SET50,2800,11.0,13.0,-0.2,-1.515152,0,2025-08-26
B,NER,0,CSSMIN,SET,5000,4.0,4.5,-0.04,-0.881057,0,2025-08-22
B,ORI,0,RD70Pct,SET100,10000,2.0,2.88,-0.12,-4.0,0,2025-03-13
B,RCL,0,RD35pct,SET100,3000,28.0,28.25,1.25,4.62963,1,2025-08-22
B,TFFIF,0,RD30Pct,SET,10000,6.0,6.1,0.05,0.826446,1,2025-08-28
B,WHAIR,0,RD50pct,SET,10000,4.9,5.55,0.05,0.909091,0,2025-08-18
S,CPF,0,,SET50,5000,23.4,23.1,0.0,0.0,2,2022-08-29
S,DIF,0,RD40Pct,SET,10000,9.3,8.85,0.1,1.142857,0,2025-08-15
S,MCS,0,20Pct,SET,6000,8.75,8.55,-0.1,-1.156069,1,2025-08-26
S,PTG,0,COS,SET100,3600,11.4,8.4,0.0,0.0,0,2025-03-10
S,PTT,0,,SET50,2500,34.25,32.25,-0.25,-0.769231,0,2025-03-06
S,SYNEX,0,RD70pct,SET,2500,13.9,12.3,-0.2,-1.6,0,2025-08-26
S,TVO,0,DTD,SET,4000,25.5,25.5,0.0,0.0,1,2025-08-22
S,WHART,0,RD30Pct,SET,5000,9.7,9.2,-0.1,-1.075269,0,2025-08-18
